Pseudo;Contribution;Sujet;Consultation
CH;"Les seuls critères mis en avant aujourd'hui sont ceux qui mesurent une contribution individuelle du député : questions posées, interventions orales, présence individuelle en commission. Si ceci est une première base, elle peut fausser la perception.  En effet, tous les députés sont évalués sur ces mêmes critères alors qu'ils portent les aspirations et les besoins de territoires très différents. Ce type de mesure pousse également chaque député à se mettre en avant personnellement plutôt qu'à viser l'efficacité.

Ce qui n'est pas valorisé : le travail de fond sur un rapport, le travail d'équipe, le travail de terrain, les compte-rendu d'actions. Le travail du député n'est pas bien connu de nos concitoyens et doit être mieux expliqué. Ceci demande une communication qualitative et pas uniquement des chiffres et des indicateurs. 

Le député doit pouvoir être évalué par rapport à ce qu'il a porté pendant sa campagne ce qui lui demandera un effort de restitution vis-à-vis de sa circonscription. C'est donc aussi sur ce terrain que le député doit être aidé par des outils et moyens individuels de communication.
";"quelle mise en valeur du travail de député";"L'ouverture de l'Assemblée nationale à la société et son rayonnement scientifique et culturel"
ANY;"Au delà de la présence dans l'hémicycle et de la comptabilité  peu significative d'interventions , la mesure du travail fait en commission et celle du travail fait en circonscription mériterait d'être exploitée.
Il serait aussi souhaitable de délivrer  une information  ""grand public"" autour des missions du parlementaire via les réseaux sociaux et tout autre support.
";"Travail parlementaire";"L'ouverture de l'Assemblée nationale à la société et son rayonnement scientifique et culturel"
LaurenceM;"Actuellement les citoyens demandent à leur député de résoudre des problèmes personnels ou collectifs très variés. La qualité de la réponse à ces demandes est très aléatoire. Au lieu de renforcer le lien citoyen/élus, cette situation le dégrade. L'Assemblée nationale pourrait considérer que cette mission d'accompagnement des citoyens relève de sa responsabilité collective et mettre en place une équipe animée par des députés (mais avec du personnel - fonctionnaires de l'assemblée, consultants, bénévoles associatifs ou retraités de l'administration) pour traiter ces sujets sur le fond. Des ateliers seraient organisés dans les circonscriptions sous l'égide des députés pour  donner une dimension de proximité de l'AN avec les citoyens. Une base de donnée serait créée avec les cas traités. L'AN assumerait ainsi la mission de vérifier que les lois et l'imposition votée chaque année par le Parlement donnent bien le résultat attendu en terme de services aux citoyens. Cette mission nouvelle devrait faire l'objet d'une organisation spécifique à l'intérieur de l'AN, pour être visible (exemple de l'Office parlementaire d'évaluation des choix scientifiques et technologiques) et faire l'objet chaque année d'un rapport aux citoyens, avec une analyse des problèmes rencontrés par les citoyens dans leur rapport aux administrations nationales et locales. Et à tous les organismes participant à la solidarité nationale. Chaque année, l'AN organiserait une rencontre avec tous les médiateurs, publics et privés, pour faire améliorer le service rendu aux citoyens. Et mènerait des recherches à l'étranger pour créer un véritable champ de connaissances sur le sujet. En collaboration avec les écoles formant les fonctionnaires, comme l'ENA,  Sciences Po et les IEP, les Universités, etc.
";"Evolution des missions de l'Assemblée nationale";"L'ouverture de l'Assemblée nationale à la société et son rayonnement scientifique et culturel"
LaurenceM;"A l'heure actuelle, les Députés travaillent énormément : multiples réunions, participation à de très nombreux groupes de travail... Avec un risque non négligeable de très grande dispersion. Mais, pour les citoyens, ce travail est quasi invisible. Et par contre les députés n'émergent pas comme faisant partie des acteurs qui font évoluer la société. D'autant plus que la loi n'est plus considéré comme un outil essentiel pour organiser le progrès social et collectif. 
Cette absence du pouvoir législatif de la fabrique de la société de demain est préoccupante. L'AN dispose pourtant d'outils comme l'Office parlementaire d'évaluation des choix scientifiques et technologiques pour prendre la parole sur ""le progrès technique"". Mais l'innovation sociale, sociétale, économique, celle impulsée localement par des petits groupes d'individus, par des collectivités locales, par des entrepreneurs, par des starts-up... relève d'un savoir individuel des députés, éventuellement augmenté par le travail dans les commissions permanentes ou les groupes d'études et de travail, mais ne constitue pas un champ d'expertise collective pour lequel l'AN assumerait une mission par rapport aux citoyens. Conséquence : les citoyens se mobilisent de moins en moins pour les élections législatives. Proposition : organiser les activités de l'AN en deux pôles : le pôle législatif et un pôle ""construction de la société de demain"". L'idée étant de mettre la loi au service de la construction de la société de demain. Création d'un lab dédié qui regrouperait tous les groupes d'études et de travail actuels, y compris les groupes d'amitiés. La collecte de savoir des députés ne doit plus être organisée essentiellement à travers un bénéfice individuel (augmentation des connaissances de chaque député) mais au bénéfice d'un savoir collectif à partager avec le plus grand nombre. Rôle du Lab : repérer les sujets de transformation en train d'émerger, organiser la constitution d'un savoir partagé sur ces changements et les opportunités/dangers pour la société, organiser une diffusion de ces ""savoirs"" auprès des députés et d'autres acteurs politiques participant au service des citoyens (MOOC pour les députés ouverts aux élus locaux, aux partis..) pour que ces sujets rentrent dans le champ du la réflexion collective/politique.
Le Lab organiserait des ""brainstorming"" avec les parties prenantes et les citoyens pour faire avancer les réflexions sur les choix /changements possibles, changements souhaitables, etc.. Avec toujours en ligne de mire l'objectif : ""mettre la loi au service des changements désirés et souhaitables de la société française et de ses acteurs"". Mais laissant aux partis politiques la responsabilité, à partir de la cette construction d'une connaissance collective des changements sociétaux en construction/en débat dans la société  de construire des programmes politiques d'actions/de contraintes, etc. 
Le lab aurait aussi un rôle d'aider les députés à mettre cette expertise en construction à disposition des citoyens et acteurs de leur circo. Et à les faire participer à son enrichissement. Site internet dédié, productions de ""kit"" pour des formations, des conférences, des débats citoyens que les députés pourraient promouvoir/utiliser dans leur circonscription. 
Avec un objectif : que les électeurs aient envie de se déplacer pour voter lors des élections législatives parce qu'ils percevront les députés comme des acteurs importants du travail politique pour choisir notre avenir commun.";"Mission de l'Assemblée nationale";"L'ouverture de l'Assemblée nationale à la société et son rayonnement scientifique et culturel"
jpylg;"""Contributions ouvertes du 20 septembre au 10 novembre"", écrivez-vous. Faut-il comprendre que ces groupes de travail ""Pour une nouvelle Assemblée Nationale"" ne fonctionnent plus après cette date ou qu'ils fonctionnent sans aucune forme de participation du public ?  -=-=-=-=-   Jean-Paul Yves Le Goff-  9 novembre 2017";"Groupes de Travail ""Pour une nouvelle Assemblée na";"L'ouverture de l'Assemblée nationale à la société et son rayonnement scientifique et culturel"
"Regards Citoyens";"Depuis la loi CADA de 1978, les citoyens disposent d'un droit d'accès aux documents administratifs produits et reçus par les administrations centrales et territoriales. Ce droit a été reconnu comme une liberté publique, ayant donc une valeur constitutionnelle par la jurisprudence (décision du [Conseil d'État n° 228830 du 29 avril 2002](https://www.legifrance.gouv.fr/affichJuriAdmin.do?idTexte=CETATEXT000008112306&) et décision du [Conseil constitutionnel n°2014-5 LOM du 23 octobre 2014](http://www.conseil-constitutionnel.fr/conseil-constitutionnel/francais/les-decisions/acces-par-date/decisions-depuis-1959/2014/2014-5-lom/decision-n-2014-5-lom-du-23-octobre-2014.142541.html?)). Le droit européen à travers les directives sur l'information publique de 2003 et 2013 a également créé un socle européen garantissant aux citoyens la réutilisation des documents publics ainsi que des voies de recours.

Si les parlements ont fortement investi dans des processus d'Open Data, la France n'a que partiellement transcrit les directives européennes. En effet s'agissant des documents produits ou reçus par les administrations parlementaires, aucun droit d'accès ni de réutilisation de ces informations n'est garanti et aucune voie de recours n'a été prévue par le législateur. La loi renvoie à l'[ordonnance de 1958](https://www.legifrance.gouv.fr/affichTexteArticle.do;jsessionid=A48AF53361594ADB7BD5DB1634ACB969.tplgfr31s_1?idArticle=LEGIARTI000006530059&cidTexte=LEGITEXT000006069203&dateTexte=20171023&) l'organisation de ces dispositions sans que cette dernière aie été modifiée afin de garantir de tels droits.

Il convient donc de :
- compléter le droit français afin de garantir un droit d'accès et de réutilisation des documents produits par le Parlement et son administration ;
- faire entrer la jurisprudence constitutionnelle du droit d'accès et de réutilisation des documents publics dans la Constitution.";"Droit d'accès aux docs administratifs du Parlement";"L'ouverture de l'Assemblée nationale à la société et son rayonnement scientifique et culturel"
"Regards Citoyens";"La Constitution française donne deux missions au Parlement : contrôler l'action du gouvernement et voter la loi. Si les missions de contrôle font l'objet d'une transparence satisfaisante, le Parlement reste encore à ce jour assez opaque en ce qui concerne le vote de la loi.

En effet, l'immense majorité des scrutins réalisés en commission comme en plénière ne font pas l'objet d'un relevé des votes mais simplement d'un décompte à main levée dont seul le résultat est notifié. Seuls quelques rares votes sont effectivement enregistrés par la pratique des scrutins dits publics et solennels, réalisés au Sénat dans des urnes à la tribune et électroniquement à l'Assemblée nationale.

Si le nombre d'amendements mis au vote est tel que systématiser les scrutins publics pourrait paraître complexe, il semble pour autant anormal que les citoyens ne soient pas en mesure de connaître a minima la position de leurs représentants sur les grandes lignes des lois votées au Parlement. À défaut de réaliser des scrutins publics pour l'ensemble des amendements, un socle minimal de transparence de la procédure pourrait être assuré en systématisant les scrutins publics sur chacun des articles des lois amendées.

Un raccourcissement du délai prévu au règlement entre l'annonce d'un scrutin public et sa tenue pourrait également être envisagé afin de fluidifier le déroulement des débats.

Il est en revanche crucial de ne pas tendre à une bureaucratisation des votes : les parlementaires doivent voter dans la foulée du débat sur chacun des amendements et des articles et surtout pas en enchaînant d'un bloc un ensemble de votes à la chaîne lors d'une série de scrutins décorrélés du débat. La méthode du Parlement Européen consistant à organiser des séances de débats, puis séparément des séances de votes en série sont absolument incompréhensibles par les citoyens. Il en est de même pour le mécanisme des secondes délibérations que peuvent aujourd'hui demander le Gouvernement ou le président de la commission saisie au fond ; aujourd'hui permises par la Constitution, celles-ci sont à proscrire : le résultat d'un vote devrait être le résultat du consensus obtenu sur les bancs entre les députés ayant participé au débat et certainement pas un simple entérinement politique d'une décision prise en dehors de la procédure parlementaire.";"Systématiser les scrutins publics sur les articles";"L'ouverture de l'Assemblée nationale à la société et son rayonnement scientifique et culturel"
"Regards Citoyens";"La Constitution française donne deux missions au Parlement : contrôler l'action du gouvernement et voter la loi. Si les missions de contrôle font l'objet d'une transparence satisfaisante, le Parlement reste encore à ce jour assez opaque en ce qui concerne le vote de la loi.

Pour les scrutins publics et solennels faisant l'objet d'un relevé public, le Parlement ne publie pas l'ensemble des informations relatives à leur déroulement et notamment l'usage qui est fait par les parlementaires des « délégations de vote ». En effet, les élus absents peuvent charger l'un de leurs collègues de porter leur voix lorsque le motif de leur absence est légitime, mais il n'est pas fait mention de cet usage sur le relevé du scrutin. Ainsi, aucune liste des parlementaires qui étaient physiquement présents lors de chacun de ces votes n'est à ce jour rendue publique. Les citoyens ne peuvent donc savoir si tel ou tel député a été présent lors d'un scrutin à l'Assemblée ou au Sénat.

Des progrès quant à la publication des votants ont été réalisés lors de la précédente législature à l'Assemblée nationale, mais le vote de parlementaires absents à travers le mécanisme de délégation de vote reste totalement opaque, alors que cette information est enregistrée électroniquement et pourrait donc tout simplement être reportée sur le résultat du scrutin.

Pire, à la « Haute Assemblée », le mécanisme des délégations de vote pratiqué est tout simplement contraire aux règles établies par la Constitution. En effet, dans son article 27, la Constitution prévoit que « Le droit de vote des membres du Parlement est personnel » et que lorsque les délégations sont mises en oeuvre, « nul ne peut recevoir délégation de plus d'un mandat ». Un parlementaire peut donc théoriquement porter au plus une seule délégation d'un collègue absent. Or, au Sénat, par le mécanisme dit des ""votes de groupe"", les sénateurs votent pour plusieurs dizaines de leurs collègues absents en déposant des liasses de vote pour tout leur groupe dans les urnes.

Il convient donc :
- de rendre publique lors de la publication du résultat des scrutins le nom du délégué lorsqu'un député a fait porter sa voix à un autre par le mécanisme des délégations ;
- d'enrichir les informations publiées relatives aux scrutins (heure et numéro de texte ou d'amendement) afin de permettre de facilement retrouver les articles ou les amendements votés et le compte-rendu de la séance associée ;
- de s'assurer que les deux chambres du Parlement font un usage conforme à leurs règlements et à la Constitution des délégations de vote.";"Assurer la publicité des délégations de vote";"L'ouverture de l'Assemblée nationale à la société et son rayonnement scientifique et culturel"
"Regards Citoyens";"Lors des débats sur un projet ou une proposition de loi dans l'hémicycle, avant de procéder au vote de chaque amendement, les parlementaires exposent leurs arguments et obtiennent un avis (favorable, défavorable ou sagesse) du rapporteur de la commission ainsi que du gouvernement.

Au Sénat, les services de la séance enregistrent cette information et la reportent dans le système d'informations des amendements rendant ainsi ces informations publiques pour chacun une fois que les débats ont eu lieu. À l'Assemblée nationale, seul le sort de l'amendement est ainsi retranscrit. Il serait particulièrement intéressant pour l'évaluation de la mise en oeuvre de la procédure législative de pouvoir disposer de cette information pour les deux chambres.";"Publier les avis des rapporteurs & du gouvernement";"L'ouverture de l'Assemblée nationale à la société et son rayonnement scientifique et culturel"
"Regards Citoyens";"L'administration financière des deux chambres parlementaires est réalisée par la Questure de chacune. Il se trouve que ces organes essentiels des deux assemblées ne font pas l'objet du minimum de transparence démocratique que l'on pourrait légitimement attendre :
- leurs réunions ne donnent lieu à aucun compte-rendu public ;
- les règlements budgétaires et financiers qui édictent les règles en vigueur à l'Assemblée ou au Sénat ne sont pas publics ;
- les comptes détaillés des deux chambres ne sont pas non plus accessibles aux citoyens ;
- enfin l'organisme de contrôle de la Questure, la commission spéciale chargée de vérifier et d'apurer les comptes, se réunit également sans que ses travaux ne soient rendus publics.

Il convient donc que la gestion financière des deux chambres fasse l'objet du minimum de transparence qu'une démocratie est en devoir de produire.";"Assurer la transparence de la Questure";"L'ouverture de l'Assemblée nationale à la société et son rayonnement scientifique et culturel"
"Regards Citoyens";"Une étape importante du travail législatif est réalisée en amont des délibérations en commissions et en hémicycle. Il s'agit des auditions permettant au rapporteur du texte mais également aux parlementaires souhaitant s'investir sur le travail législatif ou de contrôle concerné, d'écouter la diversité des points de vues relatifs aux dispositions étudiées.

Si ces auditions enrichissent souvent le travail du rapporteur lors de l'écriture de son rapport et si la liste des personnes auditionnées fait le plus souvent l'objet d'une publication en annexe, les citoyens ne peuvent pas savoir quand ces auditions ont eu lieu ni quels parlementaires y ont participé.

Or, le Journal Officiel rend public tous les matins la liste des parlementaires ayant été présents lors des réunions de commissions sous l'action des administrateurs du Sénat et de l'Assemblée qui notent les présents et les reportent pour publication au Journal Officiel.

Il serait donc intéressant pour mieux informer les citoyens sur l'investissement des parlementaires de rendre public, via ce même mécanisme de publication au Journal Officiel, la liste des personnes présentes lors de ces auditions. Une publication structurée de ces informations de manière systématique, en Open Data, serait également souhaitable.";"Publier au JO la participation aux auditions";"L'ouverture de l'Assemblée nationale à la société et son rayonnement scientifique et culturel"
"Regards Citoyens";"Si toutes les réunions des commissions font l'objet d'une publication de la liste des présents au Journal Officiel, ce n'est pas le cas pour les travaux des organes « administratifs » qui régissent le bon fonctionnement de l'Assemblée et du Sénat : la Questure, le Bureau et la Conférence des présidents.

Pour mieux valoriser ces investissements, il serait souhaitable que la liste des parlementaires qui sont présents lors de ces réunions soit rendue publique dans les même dispositions que pour ceux qui s'investissent dans les travaux de commissions, via le mécanisme de publication des présences au Journal Officiel par les administrateurs.";"Publier au JO participations au Bureau & Questure";"L'ouverture de l'Assemblée nationale à la société et son rayonnement scientifique et culturel"
"Regards Citoyens";"À l'Assemblée, le seul lieu accessible à tout citoyen sans invitation est la boutique de l'Assemblée. S'il est important que les productions écrites et les objets littéraires ou marketing de valorisation du Parlement soient accessibles à tous, ce choix donne une vision très mercantile de l'institution aux citoyens qui n'ont pas pu ou pas su demander à leur parlementaire une visite de l'Assemblée.

En parallèle de son activité commerciale, l'Assemblée gagnerait à associer à la boutique un « Tiers lieu », qui accueillerait les citoyens pour leur proposer de découvrir, apprivoiser et embrasser la démocratie parlementaire et ses institutions via des méthodes de médiation pédagogique et civique qui pourraient mêler parlementaires, administrateurs et acteurs de la société civile. Si des initiatives individuelles de certains parlementaires ou de certains groupes politiques peuvent d'ores et déjà prendre cette direction, il semble indispensable de dépolitiser et dépersonnaliser un tel lieu pour concrétiser l'engagement citoyen en lui conférant une stature institutionnelle.";"Ouvrir un tiers lieu pour l'accueil des citoyens";"L'ouverture de l'Assemblée nationale à la société et son rayonnement scientifique et culturel"
"Regards Citoyens";"L'accélération des discussions relatives aux projets et propositions de loi par l'emploi de plus en plus systématique de la procédure accélérée (dite d'urgence) pour nombre de textes, confère un rôle crucial à l'étape de conciliation entre le Sénat et l'Assemblée. Ces Commissions Mixtes Paritaires (CMP) qui réunissent 14 parlementaires, 7 de chaque chambre, se tiennent pourtant toujours à huis-clos et leurs délibérations ne font que l'objet d'un compte rendu le plus souvent extrêmement succinct. Au vu de l'impact qu'ont ces décisions sur le texte finalement adopté, ce manque de transparence pose problème et entrave conséquemment toute évaluation de l'empreinte législative.

Il convient donc d'offrir une plus grande transparence aux délibérations qui ont lieu dans ces CMP en :
- systématisant la captation vidéo et retransmission en direct de ces réunions ;
- produisant un compte-rendu détaillé des débats qui s'y déroulent comme pour l'hémicycle et les commissions, et ce y compris lors de l'échec de ces CMP.";"Rendre publics les débats en CMP";"L'ouverture de l'Assemblée nationale à la société et son rayonnement scientifique et culturel"
"Regards Citoyens";"Qu'il s'agisse d'Hadopi, du Grenelle de l'environnement, du Mariage pour tous ou encore des lois Travail, les grandes lois sociétales sont toujours l'occasion pour de nombreux citoyens de découvrir le Parlement et la procédure législative, d'apprendre à les comprendre et pour certains d'y trouver goût.

Il est possible pour les citoyens ayant la chance d'obtenir une invitation par leur député d'assister aux débats parlementaires. Des règles bien compréhensibles de discrétion et bienséance sont demandées aux citoyens présents dans les tribunes. En revanche, tous les appareils électroniques, y compris les outils de communication numérique (smartphone ou ordinateur), sont interdits. Or, ces outils sont devenus quasiment essentiels pour pouvoir bien consulter et comprendre les dispositions discutées, reconnaître les orateurs, ou partager ses impressions sur les débats à travers les réseaux sociaux. Alors même que les députés s'apprêtent à utiliser des tablettes numériques pour cesser d'imprimer des milliers de pages d'amendements, il semblerait contradictoire que les citoyens intéressés pour suivre les débats restent contraints pour leur part à imprimer ces liasses de papier.

De plus, alors que le calendrier parlementaire est très fluctuant, les citoyens doivent faire une demande au moins trois jours en avance pour obtenir le ticket donnant le droit à assister à une séance. Pour les personnes souhaitant suivre un débat particulier, il est donc quasiment impossible sans une expertise approfondie de l'organisation du Parlement d'assister physiquement aux débats, à plus forte raison encore lorsqu'elles ne résident pas en région parisienne.

Il convient donc de revoir les règles régissant l'accueil des citoyens souhaitant assister depuis les tribunes du public aux débats parlementaires afin de leur permettre de mieux découvrir et suivre les débats.

Enfin, les séances du soir restent du fait des horaires de travail classiques les plus accessibles à la fois en vidéo et physiquement. Supprimer ces séances comme cela a pu être évoqué causerait à ce titre un recul dans l'accessibilité et l'ouverture du débat parlementaire aux citoyens.";"Faciliter l'accès physique en tribunes du public";"L'ouverture de l'Assemblée nationale à la société et son rayonnement scientifique et culturel"
"Regards Citoyens";"De très nombreux lobbyistes de toutes natures sont accueillis au sein du Parlement pour des colloques ou des rendez vous avec les parlementaires. Si cette activité de partage d'expertise est inhérente à une bonne prise de décision démocratique, il faut que les activités des lobbyistes fassent l'objet d'une plus grande transparence afin d'identifier les cas d'inégalités de moyens entre les différents représentants d'intérêts et le bon respect des règles déontologiques de ces professions.

Un moyen simple d'assurer une plus grande transparence démocratique serait de rendre publiques les entrées des représentants d'intérêts au Parlement. Ceux-ci devant d'ores et déjà s'enregistrer sur les systèmes informatiques de l'Assemblée à chaque visite, il serait très simple techniquement de rendre ce listing public.";"Rendre publics les accès physiques des lobbyistes";"L'ouverture de l'Assemblée nationale à la société et son rayonnement scientifique et culturel"
"Emmanuelle Ménard";"Amendement 

À l'alinéa 1 de l'article 47 du règlement de l'Assemblée nationale après l'expression « du président des affaires européennes et des présidents des groupes « ajouter l'expression ainsi que d'un représentant des députés n'appartenant à aucun groupe. Ce représentant est élu par l'ensemble des députés non-inscrits. En cas de partage égal des voix lors d'un scrutin, un tirage au sort est effectué parmi l'ensemble des députés non-inscrits. »

Exposé sommaire des motifs
Les pouvoirs accordés à la Conférence des présidents qui se réunit une fois par semaine, sont nombreux et énumérés au chapitre XI du présent règlement. Parce que les députés non-inscrits 18 députés) sont en soit plus nombreux que les députés appartenant au groupe de la France insoumise (17 députés), il n'est pas acceptable que seul les présidents de groupes politiques puissent être représentés à la Conférence des présidents. Cet amendement vise à rétablir l'équité entre tous les députés.
";"réglement Assemblée nationale";"L'ouverture de l'Assemblée nationale à la société et son rayonnement scientifique et culturel"
"Emmanuelle Ménard";"Amendement 

À l'alinéa 3, après l'expression « présidents des groupes » ajouter l'expression « ainsi que le représentant des députes non-inscrits, élu ou tiré au sort par eux, en cas de partage égal des voix, » 

Exposé sommaire des motifs
A l'heure où le Président de l'Assemblée nationale, enjoint à reconsidérer les règles régissant le fonctionnement de l'Assemblée nationale, il convient d'insuffler un nouvel élan démocratique qui ne relève pas de la posture en permettant aux députés non-inscrits de ne pas être des députés de seconde zone.
";"Réglement assemblée nationale";"L'ouverture de l'Assemblée nationale à la société et son rayonnement scientifique et culturel"
"Emmanuelle Ménard";"Amendement 

À l'alinéa 8 de l'article 48, première phrase, près l'expression « de groupe minoritaire » ajouter l'expression « politiques, thématiques ou techniques ou un représentant des députés non-inscrits élu ou tiré au sort, en cas de partage égal des voix »

Exposé sommaire des motifs
L'inscription à l'ordre du jour des textes est pour l'instant le privilège de la Conférence des présidents, constituée actuellement des seuls représentants du groupe de la majorité ou de l'opposition. Cette situation est inéquitable, il convient de la corriger.
";"Réglement Assemblée nationale";"L'ouverture de l'Assemblée nationale à la société et son rayonnement scientifique et culturel"
"Emmanuelle Ménard";"Amendement 

À l'alinéa 1 de l'article 49, après la première phrase, ajouter la phrase suivante «  
Le temps de parole des non-inscrits est multiplié par deux en séance, hors discussion sous article ou amendement. Il s'organise de la façon suivante : 
-	deux temps de parole sont mis à la disposition des députés non-inscrits ;
-	un seul député non-inscrit ne peut cumuler ces deux temps parole ; »

Exposé des motifs 
Les députés non-inscrits sont réduits à l'art du « clic » : celui qui clique le plus vite obtient le temps de parole. Lorsque les assistants parlementaires sont trop rapides et cliquent en même temps, c'est par tirage au sort que se fait l'attribution des temps de parole. Ce procédé enfantin et peu démocratique n'est pas digne d'une institution telle que l'Assemblée nationale. La parole des députés, pourtant représentant comme chaque député de la Nation et de sa circonscription, est réduit à une course pathétique, indigne de leur mandat et de leur fonction. 
";"réglement Assemblée nationale";"L'ouverture de l'Assemblée nationale à la société et son rayonnement scientifique et culturel"
"Emmanuelle Ménard";"
Amendement 

Dès lors que la totalité des non-inscrits dépasse les 15 députés, deux temps de parole leur sont accordés pour les questions au gouvernement.

Exposé sommaire des motifs
Parce que les députés non-inscrits ont été élus selon les mêmes modalités que tous les autres députés, leur temps de parole ne devrait pas être contraint plus strictement que celui de ceux qui appartiennent à un groupe politique. L'omerta qui pèse sur le temps de parole des non-inscrits n'a pas lieu d'être.
";"Réglement Assemblée nationale";"L'ouverture de l'Assemblée nationale à la société et son rayonnement scientifique et culturel"
Yannounet;"Il faut mettre un terme définitif à l'impression des tonnes de papier gaspillées pour éditer les liasses d'amendement et rapports et lois diverses.
Les députés disposent d'une tablette il est tout à fait possible de suivre et travailler en seance et en commission via les applications et eliasse.

Il faut mettre en place une valorisation des déchets recyclables et publier des statistiques mensuelles.
";"Stop au gaspillage ";" Le développement durable dans la gestion et le fonctionnement de l'Assemblée nationale"
AB;"Bonjour, 

Lors de chaque commission, sont mis à disposition des députés des bouteilles d'eau en plastique ainsi que des gobelets en plastique. 

Serait-il envisageable de les remplacer par un système de carafe et de gobelets réutilisables de type ""éco-cup"" afin de limiter le volume de déchets plastiques générés chaque année ? 

Bien à vous, ";"Gestion des déchets";" Le développement durable dans la gestion et le fonctionnement de l'Assemblée nationale"
"On n'a qu'une seule planète";"Je pense que si l'on veut être cohérent avec les engagements pris à l'occasion de la COP 21, il faudrait arrêter de demander aux députés de porter obligatoirement un costume-cravate à l'Assemblée Nationale et d'utiliser de ce fait la climatisation en été ! La climatisation utilise en effet de l'énergie qui pourrait être utilisée à meilleur escient ailleurs. Avant de donner des leçons à Monsieur Trump, il serait bon de changer les comportements qui ne vont pas chez nous ! Make our planet great again ! Nous n'avons qu'une seule planète !";"Obligation de port de cravates pour les députés";" Le développement durable dans la gestion et le fonctionnement de l'Assemblée nationale"
pierrov;"Je ne suis pas expert du fonctionnement de l'assemblée nationale, mais en visitant différents pays (Islande, pays scandinaves, Croatie, etc), je suis frappé par la différence d'""aspect général"" entre l'assemblée nationale française et les parlements des autres pays.
En effet, dans la plupart des pays cités précédemment, les bâtiments des parlements se fondent dans le paysage urbain, il y a très peu de clinquant, d'ostentation, les députés arrivent à vélo, à pied, tout semble se faire très naturellement.
Certes, le palais Bourbon est un magnifique bâtiment et c'est un privilège pour la France de débattre des lois dans un tel lieu, mais un peu plus de simplicité à tous les niveaux serait la bienvenue (protocolaire, nombre de débutés, de collaborateurs, de commissions, de paperasses, etc). Cela contribuerait grandement à rendre plus lisible et plus attractive l'activité parlementaire et à réduire la distance entre le commun des mortels et les députés, que la plupart des personnes considère encore comme travaillant dans un palais parisien et déconnectés des réalités de leur circonscription.";"pour une assemblée nationale plus simple";" Le développement durable dans la gestion et le fonctionnement de l'Assemblée nationale"
"Catherine T.";"Bonjour,

A l'écoute de vos échanges sur la contribution en objet, je me permets de signaler des alternatives aux carafes qui mobiliseraient moins la logistique de l'Assemblée nationale :
- installation d'une fontaine d'eau chaude/froide à l'entrée de chaque salle de commission, à charge pour les députés en entrant de prendre s'ils le souhaitent un gobelet carton dans un distributeur situé à côté de la fontaine et le remplir avant d'aller s'asseoir.... et en sortant de penser à jeter ce gobelet dans la poubelle de récupération des gobelets afin de diminuer le travail de nettoyage, le temps de remise en état des salles, et d'augmenter leur rotation/location possible
- si cela demandait trop de travaux, a minima une distribution via fontaine avec une grosse bonbonne, toujours pour eviter de compliquer la tache des personnels d'entretien&logistique.
";"Usage bouteilles et gobelets plastiques (suite)";" Le développement durable dans la gestion et le fonctionnement de l'Assemblée nationale"
